_id,State/UT/City,Dangerous or Careless Driving/ Overtaking etc Cases,Dangerous or Careless Driving/ Overtaking etc Injured,Dangerous or Careless Driving/ Overtaking etc Died,Overspeeding Cases,Overspeeding Injured,Overspeeding Died,Driving under Influence of Drug/Alcohol Cases,Driving under Influence of Drug/Alcohol Injured,Driving under Influence of Drug/Alcohol Died,Physical Fatigue of Drivers Cases,Physical Fatigue of Drivers Injured,Physical Fatigue of Drivers Died,Defect in Mechanical Condition of Vehicle Cases,Defect in Mechanical Condition of Vehicle Injured,Defect in Mechanical Condition of Vehicle Died,Animal Crossing Cases,Animal Crossing Injured,Animal Crossing Died,Weather Condition (Total) Cases,Weather Condition (Total) Injured,Weather Condition (Total) Died,Weather Condition (Poor Visibility) Cases,Weather Condition (Poor Visibility) Injured,Weather Condition (Poor Visibility) Died,Weather Condition (Other Causes) Cases,Weather Condition (Other Causes) Injured,Weather Condition (Other Causes) Died,Lack of Road Infrastructure Cases,Lack of Road Infrastructure Injured,Lack of Road Infrastructure Died,Vehicles Parking at Road Shoulders Cases,Vehicles Parking at Road Shoulders Injured,Vehicles Parking at Road Shoulders Died,Causes Not Known Cases,Causes Not Known Injured,Causes Not Known Died,Other Causes Cases,Other Causes Injured,Other Causes Died,Total Road Accidents Cases,Total Road Accidents Injured,Total Road Accidents Died
1,ANDHRA PRADESH,2185,2271,755,16631,16188,6371,119,64,50,22,37,9,7,18,7,165,146,75,100,145,37,43,66,12,57,79,25,39,52,15,38,43,18,121,119,32,2129,1957,817,21556,21040,8186
2,ARUNACHAL PRADESH,65,59,40,120,127,74,3,6,0,0,0,0,12,9,9,0,0,0,8,3,9,5,2,5,3,1,4,6,21,6,0,0,0,9,4,7,38,37,28,261,266,173
3,ASSAM,886,833,347,4303,3237,1946,288,201,154,5,2,3,265,234,81,50,44,20,918,609,374,468,321,209,450,288,165,88,54,13,135,111,45,42,0,10,89,95,21,7069,5420,3014
4,BIHAR,5039,4134,4071,2886,2348,2284,51,53,12,79,63,64,95,97,74,196,208,144,908,810,785,663,584,547,245,226,238,68,38,32,110,113,95,20,12,22,101,70,77,9553,7946,7660
5,CHHATTISGARH,3536,3258,1750,6378,5603,2723,145,159,44,18,14,3,83,74,5,165,125,32,220,158,72,75,70,21,145,88,51,94,64,10,138,90,71,455,220,258,1163,917,445,12395,10682,5413
6,GOA,1752,520,134,957,313,74,122,21,10,1,0,1,5,0,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,3,2850,856,226
7,GUJARAT,1570,1515,749,12574,11068,6130,100,116,47,199,201,84,164,167,89,91,110,54,212,262,125,109,146,57,103,116,68,25,20,17,104,97,63,80,91,50,81,75,49,15200,13722,7457
8,HARYANA,4115,3183,1984,4146,3328,2068,124,96,47,69,47,25,14,14,8,50,15,25,571,508,331,367,329,195,204,179,136,8,6,2,136,101,84,731,586,372,85,88,37,10049,7972,4983
9,HIMACHAL PRADESH,1418,2009,626,726,1054,296,71,96,31,1,1,1,27,48,9,0,0,0,32,34,7,26,29,4,6,5,3,30,51,22,4,3,0,2,0,0,97,149,40,2408,3445,1032
10,JHARKHAND,1230,903,891,2694,1643,1767,204,253,326,22,17,16,178,93,95,61,43,67,73,48,67,46,24,30,27,24,37,197,171,202,22,16,26,26,10,34,21,30,22,4728,3227,3513
11,KARNATAKA,2773,3298,831,30286,35241,8797,178,167,71,0,0,0,62,77,16,71,69,31,173,307,88,17,40,1,156,267,87,18,19,0,57,78,16,2,3,1,1027,1495,187,34647,40754,10038
12,KERALA,11333,12698,977,18605,20832,2055,156,142,12,276,281,19,337,244,110,143,150,33,705,845,83,404,516,58,301,329,25,172,176,26,142,175,7,228,218,14,662,753,93,32759,36514,3429
13,MADHYA PRADESH,13253,12796,3316,25408,25780,6717,1875,1208,271,303,302,113,343,276,129,546,524,144,1284,1246,337,547,587,157,737,659,180,270,284,38,436,315,112,814,995,266,3687,3391,1037,48219,47117,12480
14,MAHARASHTRA,8216,5783,4158,16014,12113,8293,311,180,189,60,38,23,348,297,224,289,260,161,437,378,349,236,158,152,201,220,197,270,211,103,180,123,105,161,48,144,312,245,162,26598,19676,13911
15,MANIPUR,69,95,16,190,269,57,17,18,6,0,0,0,67,89,23,0,0,0,13,8,6,9,6,3,4,2,3,0,0,0,0,0,0,9,25,2,1,0,0,366,504,110
16,MEGHALAYA,70,71,39,103,108,96,39,60,30,0,0,0,3,2,1,0,0,0,3,2,2,0,0,0,3,2,2,10,9,7,5,6,1,0,0,0,11,5,11,244,263,187
17,MIZORAM,17,2,19,19,14,20,7,3,5,0,0,0,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,15,2,13,0,0,0,1,0,1,0,0,0,64,28,64
